subject_code,subject_number,subject_year,subject_semester,subject_name,professor_id,created_college,governed_college,lecture_credit,lecture_type,lecture_max_personnel,lecture_applied_number,lecture_exclusive,university_exclusive,lecture_building,lecture_room_number,others,lecture_bound,special_course,dad_of_revenge
113037,11002,2022,2,파이썬프로그래밍,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,45,0,,,,,,,,
113037,11001,,,파이썬프로그래밍,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,40,,,,,,,,,
113043,31001,,,경제성평가론,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,42,,,,,,,,,
113241,11002,,,통계처리입문,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,41,,,,,,,,,
113241,11001,,,통계처리입문,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,38,,,,,,,,,
113258,21002,,,공업통계학,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전필,44,,,,,,,,,
113258,21001,,,공업통계학,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전필,40,,,,,,,,,
113312,31001,,,컴퓨터시뮬레이션,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,35,,,,,,,,,
113355,31001,,,품질공학,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,40,,,,,,,,,
113409,21001,,,선형대수학,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,70,,,,,,,,,
113434,21001,,,데이터베이스,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,40,,,,,,,,,
113452,41001,,,벤처창업론,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,40,,,,,,,,,
113484,21001,,,물류관리론,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,41,,,,,,,,,
113502,41003,,,캡스톤디자인(2),,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전필,12,,,,,,,,,
113502,41001,,,캡스톤디자인(2),,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전필,12,,,,,,,,,
113502,41004,,,캡스톤디자인(2),,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전필,12,,,,,,,,,
113502,41002,,,캡스톤디자인(2),,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전필,12,,,,,,,,,
113502,41006,,,캡스톤디자인(2),,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전필,12,,,,,,,,,
113502,41005,,,캡스톤디자인(2),,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전필,12,,,,,,,,,
113505,31001,,,투자공학,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,41,,,,,,,,,
113507,41001,,,프로젝트관리론,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,40,,,,,,,,,
113525,41001,,,정보보호론,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,60,,,,,,,,,
113528,41001,,,코업(4),,산업정보시스템전공(학부),산업정보시스템전공(학부),6,전선,10,,,,,,,,,
113529,41001,,,코업프로젝트(4),,산업정보시스템전공(학부),산업정보시스템전공(학부),12,전선,10,,,,,,,,,
113531,21001,,,자료구조및알고리즘,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,35,,,,,,,,,
113532,31001,,,컴퓨터시스템,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,46,,,,,,,,,
113533,21001,,,회계원론,,산업정보시스템전공(학부),산업정보시스템전공(학부),3,전선,65,,,,,,,,,
