subject_code,subject_number,subject_year,subject_semester,subject_name,professor_id,created_college,governed_college,lecture_credit,lecture_type,lecture_max_personnel,lecture_applied_number,lecture_exclusive,university_exclusive,lecture_building,lecture_room_number,others,lecture_bound,special_course,dad_of_revenge
100864,31001,,,생명과인간,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제1영역",,,
100864,31004,,,생명과인간,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제1영역",,,
100865,31004,,,문학적상상력,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제1영역",,,
100865,31002,,,문학적상상력,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제1영역",,,
100865,31003,,,문학적상상력,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제1영역",,,
100865,31006,,,문학적상상력,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제1영역",,,
100865,31009,,,문학적상상력,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제1영역",,,
100865,31001,,,문학적상상력,,교양대학,인문사회교양학부,3,교필,24,,,,,,"택1, 제1영역",,,
100865,31008,,,문학적상상력,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제1영역",,,
100865,31005,,,문학적상상력,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제1영역",,,
100865,31007,,,문학적상상력,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제1영역",,,
100934,31001,,,음악의이해,,교양대학,융합교양학부,3,교선,40,,,,,,,,,
100934,31002,,,음악의이해,,교양대학,융합교양학부,3,교선,40,,,,,,,,,
100958,31001,,,읽기와쓰기의즐거움,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100959,31001,,,발표와토론,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100961,31001,,,통계의활용,,교양대학,자연과학부,3,교선,40,,,,,,일반+사이버(70%미만)강좌,,,
100964,31001,,,회계학개론,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100965,31001,,,발명기법과특허의이해,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100965,31002,,,발명기법과특허의이해,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100975,11026,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11025,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11013,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11003,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11011,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11009,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11007,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11006,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11005,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11002,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11004,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11010,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11001,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"영어전용(M)   택1, 공통필수 윤리역량",,,
100975,11018,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11012,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11019,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11020,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11014,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11008,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11015,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11016,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11022,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11023,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11024,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11017,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100975,11021,,,삶의윤리학,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100977,11004,,,인간과공동체,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100977,11003,,,인간과공동체,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100977,11001,,,인간과공동체,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100977,11002,,,인간과공동체,,교양대학,인문사회교양학부,2,교필,40,,,,,,"택1, 공통필수 윤리역량",,,
100978,11002,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11001,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,영어전용(M)   공통필수,,,
100978,11007,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11003,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11018,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11006,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11008,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11009,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11030,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11029,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11028,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11010,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11011,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11012,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11013,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11014,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11015,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11016,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11017,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11005,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11019,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11023,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11020,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11021,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11022,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11004,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11024,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11025,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11026,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100978,11027,,,창의적사고,,교양대학,융합교양학부,2,교필,40,,,,,,공통필수,,,
100980,31001,,,기초회화,,교양대학,인문사회교양학부,2,교선,25,,,,,,,,,
100982,31001,,,통계패키지활용자료분석,,교양대학,자연과학부,3,교선,40,,,,,,,,,
100983,31001,,,별과우주,,교양대학,자연과학부,3,교선,40,,,,,,,,,
100984,31001,,,현대물리학의이해,,교양대학,자연과학부,3,교선,40,,,,,,,,,
100986,31001,,,문명과철학,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100987,31001,,,실전한국사,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100988,31001,,,한국고중세사산책,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100989,31001,,,세계지역사특강,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100989,31002,,,세계지역사특강,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
