grd_ScheduleMain_rn,grd_ScheduleMain_SUBJ_CD,grd_ScheduleMain_SUBJ_KNM,grd_ScheduleMain_SUBJ_ENM,grd_ScheduleMain_NOTE,grd_ScheduleMain_LECT_NUMB,grd_ScheduleMain_CMPT_DIV_NM,grd_ScheduleMain_CMPT_DIV_ENM,grd_ScheduleMain_UNIT,grd_ScheduleMain_LSTM_LIST,grd_ScheduleMain_LSTM_LIST_ENM,grd_ScheduleMain_COUR_INWON,grd_ScheduleMain_SP_LESS_CD_NM,grd_ScheduleMain_SP_LESS_CD_ENM,grd_ScheduleMain_MNG_LESS_NM,grd_ScheduleMain_MNG_LESS_ENM,grd_ScheduleMain_PROF_NM,grd_ScheduleMain_PROF_ENM,grd_ScheduleMain_BLDG_COUM,grd_ScheduleMain_BLDG_COUM_ENM,grd_ScheduleMain_PROG_YN,grd_ScheduleMain_OTSH_LIMT_YN,grd_ScheduleMain_DLES_COUR_PBT_YN,grd_ScheduleMain_ETC,grd_ScheduleMain_ETC_ENM
28,100165,미분적분학(1),Calculus(1),외국인 전용 영어강좌,11001,교필,General Education Required Course,3,"화(3 ~ 4), 목(3 ~ 4)","Tue(3 ~ 4), Thu(3 ~ 4)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,박윤경,"Park, Yoon Kyung",미래관-202 미래관-202,Mirae Hall(060)-202 (),보기,Y,,"영어전용(M)   택1, 공통 그룹 1","Offered in English   택1, 공통 그룹 1"
29,100165,미분적분학(1),Calculus(1),,11002,교필,General Education Required Course,3,"화(3 ~ 4), 목(3 ~ 4)","Tue(3 ~ 4), Thu(3 ~ 4)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,유지현,유지현,청운관(북관)-019 청운관(북관)-019,Chungwoon Hall(006A)-019,보기,N,,"택1, 공통 그룹 1","택1, 공통 그룹 1"
30,100165,미분적분학(1),Calculus(1),,11004,교필,General Education Required Course,3,"수(8 ~ 9), 금(3 ~ 4)","Wed(8 ~ 9), Fri(3 ~ 4)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,박경호,박경호,다빈치관-207 다빈치관-207,Davinci Hall(039)-207,보기,N,,"택1, 공통 그룹 1","택1, 공통 그룹 1"
31,100165,미분적분학(1),Calculus(1),,11005,교필,General Education Required Course,3,"화(6 ~ 7), 목(6 ~ 7)","Tue(6 ~ 7), Thu(6 ~ 7)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,유지현,유지현,다빈치관-108 다빈치관-108,Davinci Hall(039)-108,보기,N,,"택1, 공통 그룹 1","택1, 공통 그룹 1"
32,100165,미분적분학(1),Calculus(1),,11006,교필,General Education Required Course,3,"수(6 ~ 7), 금(6 ~ 7)","Wed(6 ~ 7), Fri(6 ~ 7)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,박경호,박경호,다빈치관-207 다빈치관-207,Davinci Hall(039)-207,보기,N,,"택1, 공통 그룹 1","택1, 공통 그룹 1"
33,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11008,교필,General Education Required Course,3,"화(3 ~ 4), 목(3 ~ 4)","Tue(3 ~ 4), Thu(3 ~ 4)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,류주연,류주연,청운관(북관)-015 청운관(북관)-015,Chungwoon Hall(006A)-015,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
34,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11007,교필,General Education Required Course,3,"화(3 ~ 4), 목(3 ~ 4)","Tue(3 ~ 4), Thu(3 ~ 4)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,함지영,함지영,다빈치관-013 다빈치관-013,Davinci Hall(039)-013,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
35,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11006,교필,General Education Required Course,3,"화(3 ~ 4), 목(3 ~ 4)","Tue(3 ~ 4), Thu(3 ~ 4)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,권윤기,권윤기,다빈치관-220 다빈치관-220,Davinci Hall(039)-220,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
36,100166,미분적분학(2),Calculus(2),수강대상: 공과대학,11037,교필,General Education Required Course,3,"수(6 ~ 7), 금(6 ~ 7)","Wed(6 ~ 7), Fri(6 ~ 7)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,임경필,임경필,무궁관-108 무궁관-108,Mugung Hall(057)-108,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
37,100166,미분적분학(2),Calculus(2),수강대상: 공과대학,11036,교필,General Education Required Course,3,"수(6 ~ 7), 금(6 ~ 7)","Wed(6 ~ 7), Fri(6 ~ 7)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,한혜림,한혜림,다빈치관-423 다빈치관-107,Davinci Hall(039)-107 Davinci Hall(039)-423,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
