grd_ScheduleMain_rn,grd_ScheduleMain_SUBJ_CD,grd_ScheduleMain_SUBJ_KNM,grd_ScheduleMain_SUBJ_ENM,grd_ScheduleMain_NOTE,grd_ScheduleMain_LECT_NUMB,grd_ScheduleMain_CMPT_DIV_NM,grd_ScheduleMain_CMPT_DIV_ENM,grd_ScheduleMain_UNIT,grd_ScheduleMain_LSTM_LIST,grd_ScheduleMain_LSTM_LIST_ENM,grd_ScheduleMain_COUR_INWON,grd_ScheduleMain_SP_LESS_CD_NM,grd_ScheduleMain_SP_LESS_CD_ENM,grd_ScheduleMain_MNG_LESS_NM,grd_ScheduleMain_MNG_LESS_ENM,grd_ScheduleMain_PROF_NM,grd_ScheduleMain_PROF_ENM,grd_ScheduleMain_BLDG_COUM,grd_ScheduleMain_BLDG_COUM_ENM,grd_ScheduleMain_PROG_YN,grd_ScheduleMain_OTSH_LIMT_YN,grd_ScheduleMain_DLES_COUR_PBT_YN,grd_ScheduleMain_ETC,grd_ScheduleMain_ETC_ENM
1,113036,공급사슬관리,Supply Chain Management,,31001,전선,Major Electives,3,화(2 ~ 4),Tue(2 ~ 4),57,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,조남욱,"Cho, Nam-Wook",프론티어관-216,Frontier Hall(032)-216,보기,Y,Y,영어전용(M),Offered in English
2,113038,자바프로그래밍,JAVA Programming,,21001,전선,Major Electives,3,금(1 ~ 4),Fri(1 ~ 4),45,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,최희식,최희식,프론티어관-511,Frontier Hall(032)-511,보기,Y,Y,,
3,113039,기업정보시스템,Business Information Systems,,21001,전선,Major Electives,3,수(6 ~ 8),Wed(6 ~ 8),45,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,김우제,김우제,프론티어관-406,Frontier Hall(032)-406,보기,Y,Y,,
4,113040,데이터마이닝입문,Introduction to the Data Mining,,21002,전선,Major Electives,3,화(2 ~ 5),Tue(2 ~ 5),40,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,금영정,"Geum, Youngjung",프론티어관-501,Frontier Hall(032)-501,보기,Y,Y,,
5,113040,데이터마이닝입문,Introduction to the Data Mining,,21001,전선,Major Electives,3,월(2 ~ 5),Mon(2 ~ 5),40,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,금영정,"Geum, Youngjung",프론티어관-501,Frontier Hall(032)-501,보기,Y,Y,,
6,113041,웹프로그래밍,Web Programming,,31001,전선,Major Electives,3,금(6 ~ 9),Fri(6 ~ 9),45,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,최희식,최희식,프론티어관-511,Frontier Hall(032)-511,보기,Y,Y,,
7,113044,딥러닝,Deep Learning,,41001,전선,Major Electives,3,화(5 ~ 7),Tue(5 ~ 7),40,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,황상흠,"Hwang, Sangheum",프론티어관-502,Frontier Hall(032)-502,보기,Y,Y,영어전용(Y),Offered in English
8,113045,IT플랫폼비즈니스전략,IT Platform Business Strategy,,41001,전선,Major Electives,3,목(2 ~ 4),Thu(2 ~ 4),40,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,김동헌,김동헌,프론티어관-216,Frontier Hall(032)-216,보기,Y,Y,,
9,113046,사용자경험디자인,User Experience Design,,41001,전선,Major Electives,3,금(2 ~ 4),Fri(2 ~ 4),40,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,이영훈,"Lee, Younghoon",프론티어관-216,Frontier Hall(032)-216,보기,Y,Y,영어전용(Y),Offered in English
10,113050,경제성공학,Engineering Economy,,21002,전선,Major Electives,3,목(7 ~ 9),Thu(7 ~ 9),52,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,안재경,"Ahn,  JaeKyoung",프론티어관-409,Frontier Hall(032)-409,보기,Y,,,
11,113050,경제성공학,Engineering Economy,,21001,전선,Major Electives,3,화(7 ~ 9),Tue(7 ~ 9),52,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,안재경,"Ahn,  JaeKyoung",프론티어관-409,Frontier Hall(032)-409,보기,Y,,,
12,113313,경영과학,Introduction to Management Science,,31002,전필,Major Required Courses,3,금(2 ~ 4),Fri(2 ~ 4),45,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,이강원,"Lee, Kang Won",프론티어관-501,Frontier Hall(032)-501,보기,Y,Y,영어전용(M),Offered in English
13,113313,경영과학,Introduction to Management Science,,31001,전필,Major Required Courses,3,수(6 ~ 8),Wed(6 ~ 8),45,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,이강원,"Lee, Kang Won",하이테크관-201,High Tech Hall(033)-201,보기,Y,Y,영어전용(M),Offered in English
14,113403,공업수학,Engineering Mathematics,,21001,전필,Major Required Courses,3,금(6 ~ 8),Fri(6 ~ 8),75,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,소영섭,소영섭,프론티어관-410,Frontier Hall(032)-410,보기,Y,Y,,
15,113414,생산관리,Production Management,,21001,전선,Major Electives,3,월(6 ~ 8),Mon(6 ~ 8),41,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,장성용,장성용,프론티어관-406,Frontier Hall(032)-406,보기,Y,Y,,
16,113414,생산관리,Production Management,,21002,전선,Major Electives,3,월(2 ~ 4),Mon(2 ~ 4),40,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,장성용,장성용,프론티어관-316,Frontier Hall(032)-316,보기,Y,Y,,
17,113453,전사적자원관리,Enterprise Resource Planning,,41001,전선,Major Electives,3,화(7 ~ 9),Tue(7 ~ 9),35,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,김지표,"Kim, Jipyo",프론티어관-216,Frontier Hall(032)-216,보기,Y,,영어전용(M),Offered in English
18,113464,품질경영론,Quality Management,,31001,전선,Major Electives,3,수(1 ~ 3),Wed(1 ~ 3),44,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,홍석기,홍석기,다산관-320,Dasan Hall(002)-320,보기,Y,Y,,
19,113485,소프트웨어공학,Software Engineering,,41001,전선,Major Electives,3,월(6 ~ 8),Mon(6 ~ 8),40,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,김우제,김우제,프론티어관-503,Frontier Hall(032)-503,보기,N,,,
20,113501,캡스톤디자인(1),Capstone Design(1),,41006,전필,Major Required Courses,3,수(0 ~ 2),Wed(0 ~ 2),11,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,이영훈,"Lee, Younghoon",프론티어관-403,Frontier Hall(032)-403,보기,Y,Y,논문세미나,Dissertation seminar
21,113501,캡스톤디자인(1),Capstone Design(1),,41001,전필,Major Required Courses,3,수(0 ~ 2),Wed(0 ~ 2),12,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,장성용,장성용,프론티어관-612,Frontier Hall(032)-612,보기,Y,Y,논문세미나,Dissertation seminar
22,113501,캡스톤디자인(1),Capstone Design(1),,41004,전필,Major Required Courses,3,수(0 ~ 2),Wed(0 ~ 2),11,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,금영정,"Geum, Youngjung",프론티어관-1003,Frontier Hall(032)-1003,보기,Y,Y,논문세미나,Dissertation seminar
23,113501,캡스톤디자인(1),Capstone Design(1),,41003,전필,Major Required Courses,3,수(0 ~ 2),Wed(0 ~ 2),11,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,조남욱,"Cho, Nam-Wook",프론티어관-503,Frontier Hall(032)-503,보기,Y,Y,논문세미나,Dissertation seminar
24,113501,캡스톤디자인(1),Capstone Design(1),,41005,전필,Major Required Courses,3,수(0 ~ 2),Wed(0 ~ 2),11,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,황상흠,"Hwang, Sangheum",프론티어관-108,Frontier Hall(032)-108,보기,Y,Y,논문세미나,Dissertation seminar
25,113501,캡스톤디자인(1),Capstone Design(1),,41002,전필,Major Required Courses,3,수(0 ~ 2),Wed(0 ~ 2),11,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,이강원,"Lee, Kang Won",프론티어관-601,Frontier Hall(032)-601,보기,Y,Y,논문세미나,Dissertation seminar
26,113503,데이터마이닝,Data Mining,,31001,전선,Major Electives,3,화(6 ~ 9),Tue(6 ~ 9),35,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,김경옥,"Kim, Kyoungok",프론티어관-501,Frontier Hall(032)-501,보기,Y,Y,,
27,113503,데이터마이닝,Data Mining,,31002,전선,Major Electives,3,목(1 ~ 4),Thu(1 ~ 4),40,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,심재웅,Shim Jaewoong,프론티어관-501,Frontier Hall(032)-501,보기,Y,Y,,
28,113509,모바일프로그래밍,Mobile Programming,,41001,전선,Major Electives,3,목(6 ~ 9),Thu(6 ~ 9),35,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,정진우,Jin-Woo Jeong,프론티어관-501,Frontier Hall(032)-501,보기,Y,Y,,
29,113526,코업(3),Co-operative Education Program,,41001,전선,Major Electives,6,토(0 ~ 5),Sat(0 ~ 5),7,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,황상흠,"Hwang, Sangheum",,,보기,Y,Y,현장실습,Field training
30,113527,코업프로젝트(3),Co-operative Education Project,,41001,전선,Major Electives,12,일(0 ~ 5),Sun(0 ~ 5),7,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,황상흠,"Hwang, Sangheum",,,보기,Y,Y,코업프로젝트,Co-op project
