grd_ScheduleMain_rn,grd_ScheduleMain_SUBJ_CD,grd_ScheduleMain_SUBJ_KNM,grd_ScheduleMain_SUBJ_ENM,grd_ScheduleMain_NOTE,grd_ScheduleMain_LECT_NUMB,grd_ScheduleMain_CMPT_DIV_NM,grd_ScheduleMain_CMPT_DIV_ENM,grd_ScheduleMain_UNIT,grd_ScheduleMain_LSTM_LIST,grd_ScheduleMain_LSTM_LIST_ENM,grd_ScheduleMain_COUR_INWON,grd_ScheduleMain_SP_LESS_CD_NM,grd_ScheduleMain_SP_LESS_CD_ENM,grd_ScheduleMain_MNG_LESS_NM,grd_ScheduleMain_MNG_LESS_ENM,grd_ScheduleMain_PROF_NM,grd_ScheduleMain_PROF_ENM,grd_ScheduleMain_BLDG_COUM,grd_ScheduleMain_BLDG_COUM_ENM,grd_ScheduleMain_PROG_YN,grd_ScheduleMain_OTSH_LIMT_YN,grd_ScheduleMain_DLES_COUR_PBT_YN,grd_ScheduleMain_ETC,grd_ScheduleMain_ETC_ENM
16,113502,캡스톤디자인(2),Capstone Design(2),,41004,전필,Major Required Courses,3,수(0 ~ 2),Wed(0 ~ 2),12,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,김자희,"kim, Ja-Hee",프론티어관-407,Frontier Hall(032)-407,보기,Y,Y,논문세미나,Dissertation seminar
17,113502,캡스톤디자인(2),Capstone Design(2),,41002,전필,Major Required Courses,3,수(0 ~ 2),Wed(0 ~ 2),12,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,안재경,"Ahn,  JaeKyoung",프론티어관-612,Frontier Hall(032)-612,보기,Y,Y,논문세미나,Dissertation seminar
18,113502,캡스톤디자인(2),Capstone Design(2),,41006,전필,Major Required Courses,3,수(0 ~ 2),Wed(0 ~ 2),12,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,심재웅,Shim Jaewoong,프론티어관-503,Frontier Hall(032)-503,보기,Y,Y,논문세미나,Dissertation seminar
19,113502,캡스톤디자인(2),Capstone Design(2),,41005,전필,Major Required Courses,3,수(0 ~ 2),Wed(0 ~ 2),12,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,정진우,Jin-Woo Jeong,프론티어관-1013 프론티어관-1003,Frontier Hall(032)-1013 Frontier Hall(032)-1003,보기,Y,Y,논문세미나,Dissertation seminar
20,113505,투자공학,Investment Engineering,,31001,전선,Major Electives,3,화(7 ~ 9),Tue(7 ~ 9),41,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,김지표,"Kim, Jipyo",프론티어관-402,Frontier Hall(032)-402,보기,Y,Y,영어전용(M),Offered in English
21,113507,프로젝트관리론,Project Management,,41001,전선,Major Electives,3,화(2 ~ 4),Tue(2 ~ 4),40,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,윤양인,Yangin Yoon,프론티어관-409,Frontier Hall(032)-409,보기,Y,Y,영어전용(Y),Offered in English
22,113525,정보보호론,Introduction to Information Security,,41001,전선,Major Electives,3,월(2 ~ 4),Mon(2 ~ 4),60,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,이윤호,"Lee, Younho",프론티어관-318,Frontier Hall(032)-318,보기,Y,Y,,
23,113528,코업(4),Co-operative Education Program,,41001,전선,Major Electives,6,토(1 ~ 4),Sat(1 ~ 4),10,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,황상흠,"Hwang, Sangheum",,,보기,Y,Y,현장실습,Field training
24,113529,코업프로젝트(4),Co-operative Education Project,,41001,전선,Major Electives,12,토(6 ~ 9),Sat(6 ~ 9),10,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,황상흠,"Hwang, Sangheum",,,보기,Y,Y,코업프로젝트,Co-op project
25,113531,자료구조및알고리즘,Data Structures and Algorithms,,21001,전선,Major Electives,3,목(6 ~ 9),Thu(6 ~ 9),35,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,김자희,"kim, Ja-Hee",프론티어관-501,Frontier Hall(032)-501,보기,Y,Y,,
26,113532,컴퓨터시스템,Computer Systems,,31001,전선,Major Electives,3,수(6 ~ 9),Wed(6 ~ 9),46,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,이윤호,"Lee, Younho",프론티어관-511,Frontier Hall(032)-511,보기,Y,Y,,
27,113533,회계원론,Introduction to Fundamental Accounting,,21001,전선,Major Electives,3,월(6 ~ 8),Mon(6 ~ 8),65,산업정보시스템전공(학부),Industrial and Information Systems Engineering,산업정보시스템전공(학부),Industrial and Information Systems Engineering,윤양인,Yangin Yoon,프론티어관-410,Frontier Hall(032)-410,보기,Y,Y,,
