grd_ScheduleMain_rn,grd_ScheduleMain_SUBJ_CD,grd_ScheduleMain_SUBJ_KNM,grd_ScheduleMain_SUBJ_ENM,grd_ScheduleMain_NOTE,grd_ScheduleMain_LECT_NUMB,grd_ScheduleMain_CMPT_DIV_NM,grd_ScheduleMain_CMPT_DIV_ENM,grd_ScheduleMain_UNIT,grd_ScheduleMain_LSTM_LIST,grd_ScheduleMain_LSTM_LIST_ENM,grd_ScheduleMain_COUR_INWON,grd_ScheduleMain_SP_LESS_CD_NM,grd_ScheduleMain_SP_LESS_CD_ENM,grd_ScheduleMain_MNG_LESS_NM,grd_ScheduleMain_MNG_LESS_ENM,grd_ScheduleMain_PROF_NM,grd_ScheduleMain_PROF_ENM,grd_ScheduleMain_BLDG_COUM,grd_ScheduleMain_BLDG_COUM_ENM,grd_ScheduleMain_PROG_YN,grd_ScheduleMain_OTSH_LIMT_YN,grd_ScheduleMain_DLES_COUR_PBT_YN,grd_ScheduleMain_ETC,grd_ScheduleMain_ETC_ENM
91,181096,창의입문설계,Introduction to Creative Engineering Design,,11004,전선,Major Electives,2,"화(5), 목(1 ~ 2)","Tue(5), Thu(1 ~ 2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김정엽,"KIM, JUNG-YUP",하이테크관-234 하이테크관-234,High Tech Hall(033)-234,보기,Y,Y,,
92,181096,창의입문설계,Introduction to Creative Engineering Design,,11002,전선,Major Electives,2,"월(5), 화(1 ~ 2)","Mon(5), Tue(1 ~ 2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김종형,"KIM, JONGHYEONG",프론티어관-410 하이테크관-234,Frontier Hall(032)-410 High Tech Hall(033)-234,보기,Y,Y,,
93,181096,창의입문설계,Introduction to Creative Engineering Design,,11006,전선,Major Electives,2,"화(1), 수(8 ~ 9)","Tue(1), Wed(8 ~ 9)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,이주연,Ju Yeon Lee,하이테크관-231 하이테크관-236,High Tech Hall(033)-236 High Tech Hall(033)-231,보기,Y,Y,,
94,181096,창의입문설계,Introduction to Creative Engineering Design,,11001,전선,Major Electives,2,"월(1 ~ 2), 화(5)","Mon(1 ~ 2), Tue(5)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김종형,"KIM, JONGHYEONG",하이테크관-234 프론티어관-410,Frontier Hall(032)-410 High Tech Hall(033)-234,보기,Y,Y,,
95,181096,창의입문설계,Introduction to Creative Engineering Design,,11005,전선,Major Electives,2,"월(1), 화(8 ~ 9)","Mon(1), Tue(8 ~ 9)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,이주연,Ju Yeon Lee,하이테크관-231 하이테크관-236,High Tech Hall(033)-236 High Tech Hall(033)-231,보기,Y,Y,,
96,181096,창의입문설계,Introduction to Creative Engineering Design,,11003,전선,Major Electives,2,"월(8 ~ 9), 목(5)","Mon(8 ~ 9), Thu(5)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김정엽,"KIM, JUNG-YUP",하이테크관-234 하이테크관-234,High Tech Hall(033)-234,보기,Y,Y,,
97,181104,응용유체역학,Applied Fluid Mechanics,,41001,전선,Major Electives,3,"월(5), 수(1 ~ 2)","Mon(5), Wed(1 ~ 2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김정우,김정우,프론티어관-506 프론티어관-506,Frontier Hall(032)-506,보기,Y,Y,,
98,181111,PC기반제어프로그래밍,PC-Based Control Programming,,31001,전선,Major Electives,3,수(6 ~ 9),Wed(6 ~ 9),45,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김성환,"Kim, Sung Hwan",프론티어관-511,Frontier Hall(032)-511,보기,Y,Y,,
99,181112,창의공학설계,Creative Engineering Design,,31001,전선,Major Electives,3,"월(6 ~ 7), 목(3 ~ 4)","Mon(6 ~ 7), Thu(3 ~ 4)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김종형,"KIM, JONGHYEONG",프론티어관-316 프론티어관-316,Frontier Hall(032)-316,보기,Y,,,
100,181115,마이크로컨트롤러,MicroController,,31001,전선,Major Electives,3,"화(1 ~ 2), 목(6 ~ 7)","Tue(1 ~ 2), Thu(6 ~ 7)",34,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,이귀형,LEE GUI HYUNG,하이테크관-236 하이테크관-236,High Tech Hall(033)-236,보기,N,,,
